,tweet_id,favorites,retweet_count
1633,806242860592926720,0,12411
1634,806542213899489280,10751,2505
1635,806629075125202948,78789,37027
1636,807010152071229440,13729,4088
1637,807059379405148160,0,7794
1638,807106840509214720,124653,59198
1639,807621403335917568,15301,3895
1640,808001312164028416,13200,3769
1641,808106460588765185,9211,2348
1642,808134635716833280,0,6326
1643,808501579447930884,11861,2764
1644,808733504066486276,8312,2310
1645,808838249661788160,10624,3253
1646,809084759137812480,13897,3750
1647,809220051211603969,20930,5975
1648,809448704142938112,7287,1558
1649,809808892968534016,0,5201
1650,809920764300447744,16271,4172
1651,810254108431155201,15427,3564
1652,810284430598270976,37099,12098
1653,810657578271330305,11522,2822
1654,810896069567610880,9492,1890
1655,810984652412424192,5609,1537
1656,811386762094317568,21929,6787
1657,811627233043480576,13413,3304
1658,811744202451197953,7928,1696
1659,811985624773361665,7625,1494
1660,812372279581671427,14373,3904
1661,812466873996607488,8382,2049
1662,812503143955202048,6371,1301
1663,812709060537683968,6954,1517
1664,812781120811126785,7956,2036
1665,813051746834595840,21980,7811
1666,813066809284972545,8358,2072
1667,813081950185472002,10350,2947
1668,813096984823349248,11040,3839
1669,813112105746448384,10816,2929
1670,813127251579564032,12425,3329
1671,813142292504645637,8862,2513
1672,813157409116065792,8135,2351
1673,813172488309972993,9752,2039
1674,813187593374461952,20825,4643
1675,813202720496779264,9650,1912
1676,813217897535406080,19573,7773
1677,813800681631023104,8754,1871
1678,813812741911748608,38169,14846
1679,813910438903693312,9752,1986
1680,813944609378369540,0,3382
1681,814153002265309185,30188,9221
1682,814530161257443328,9057,1965
1683,814638523311648768,11806,2876
1684,814986499976527872,8017,1368
1685,815390420867969024,10854,4032
1686,815639385530101762,8613,1741
1687,815736392542261248,10308,2406
1688,815966073409433600,23461,8986
1689,815990720817401858,5210,1098
1690,816014286006976512,0,5613
1691,816091915477250048,9356,2289
1692,816336735214911488,9007,2067
1693,816450570814898180,31979,8611
1694,816697700272001025,10256,2326
1695,816816676327063552,10499,2162
1696,816829038950027264,0,4998
1697,817056546584727552,8986,1743
1698,817120970343411712,12765,2756
1699,817171292965273600,9142,2138
1700,817181837579653120,0,8986
1701,817415592588222464,5870,1019
